,Id,Appliance,Company,Energy_Consumption_kWh,Materials_Used,Manufacturing_Emissions_kg_CO2e,Transportation_Mode,Distance_Traveled_km,Transportation_Emissions_kg_CO2e,Energy_Efficiency,Water_Consumption_gallons,Energy_Star_Rating,Eco_Friendly_Certificate_1,Eco_Friendly_Certificate_2,Biodegradable_Packaging,Eco_Friendliness
0,1,Bosch Dishwasher,Whirlpool,60,"Plastic, glass, copper, aluminum",427,Truck,1063,196,4,0,4,Cradle to Cradle Certified,Energy Star Certified,0,3
1,2,Bosch Dishwasher,Dell,718,"Steel, aluminum",750,Ship,169,126,1,0,1,No Certification,No Certification,0,3
2,3,Bosch Dishwasher,Generic,102,"Steel, plastic, copper, aluminum",732,Truck,404,82,1,0,1,ENERGY STAR Certified,EcoLogo Certified,0,2
3,4,Bosch Dishwasher,HP,60,"Plastic, aluminum",74,Ship,1691,400,5,1,4,RoHS Compliant,Energy Star Certified,1,5
4,5,Bosch Dishwasher,Whirlpool,989,"Steel, plastic, copper, aluminum",371,Ship,336,400,1,0,4,RoHS Compliant,No Certification,0,1
5,6,Bosch Dishwasher,LG,60,"Plastic, glass, copper, aluminum",80,Ship,202,163,4,0,4,ENERGY STAR Certified,No Certification,1,4
6,7,Bosch Dishwasher,Bosch,60,"Steel, plastic, copper, aluminum",30,Ship,1119,247,5,0,4,ENERGY STAR Certified,No Certification,1,5
7,8,Bosch Dishwasher,Whirlpool,631,"Steel, plastic, glass",282,Ship,1064,140,3,8,3,ENERGY STAR Certified,Green Seal Certified,0,3
8,9,Bosch Dishwasher,HP,166,"Plastic, aluminum",94,Truck,795,126,4,0,3,No Certification,EcoLogo Certified,0,3
9,10,Bosch Dishwasher,Maytag,60,"Steel, plastic, copper, aluminum",277,Airplane,830,227,4,7,4,ENERGY STAR Certified,EcoLogo Certified,1,5
10,11,Bosch Dishwasher,Generic,960,"Steel, plastic, copper, aluminum",750,Truck,299,148,1,0,1,No Certification,Green Seal Certified,0,4
11,12,Bosch Dishwasher,LG,199,"Plastic, glass, copper, aluminum",250,Truck,1163,178,5,11,3,EcoLogo Certified,Green Seal Certified,0,4
12,13,Bosch Dishwasher,Generic,192,"Plastic, aluminum",58,Truck,51,165,4,0,4,Energy Star Certified,Energy Star Certified,1,5
13,14,Bosch Dishwasher,Whirlpool,543,"Steel, plastic, glass",383,Truck,1069,95,2,0,1,No Certification,EcoLogo Certified,0,4
14,15,Bosch Dishwasher,Maytag,512,"Steel, plastic",446,Truck,178,129,3,14,1,No Certification,No Certification,0,1
15,16,Bosch Dishwasher,Maytag,374,"Glass, tungsten",393,Train,1020,204,5,14,5,No Certification,EcoLogo Certified,0,3
16,17,Bosch Dishwasher,Samsung,641,"Steel, plastic, copper, aluminum",314,Ship,1063,187,3,9,1,Cradle to Cradle Certified,EcoLogo Certified,0,2
17,18,Bosch Dishwasher,Samsung,173,"Steel, aluminum",511,Train,1204,72,3,10,1,No Certification,Green Seal Certified,0,3
18,19,Bosch Dishwasher,Maytag,267,"Steel, plastic, copper, aluminum",322,Train,1034,221,1,10,4,ENERGY STAR Certified,EcoLogo Certified,1,4
19,20,Bosch Dishwasher,Generic,1059,"Steel, plastic, copper",508,Truck,410,28,1,0,1,RoHS Compliant,EcoLogo Certified,0,2
20,21,Bosch Dishwasher,Bosch,95,"Steel, plastic, copper, aluminum",70,Ship,685,29,5,0,4,RoHS Compliant,Green Seal Certified,1,5
21,22,Bosch Dishwasher,Sony,686,"Plastic, glass, copper, aluminum",541,Airplane,1744,245,4,1,4,EcoLogo Certified,EcoLabel Certified,1,4
22,23,Bosch Dishwasher,Panasonic,60,"Glass, tungsten",112,Truck,695,400,5,0,4,Green Seal Certified,EcoLogo Certified,0,4
23,24,Bosch Dishwasher,Maytag,200,"Plastic, aluminum",71,Truck,1892,134,5,0,3,ENERGY STAR Certified,EcoLogo Certified,0,5
24,25,Bosch Dishwasher,Generic,463,"Steel, plastic, copper, aluminum",509,Ship,713,171,1,10,1,No Certification,Green Seal Certified,0,2
25,26,Bosch Dishwasher,Maytag,356,"Steel, plastic, copper, aluminum",412,Ship,1053,264,5,9,5,Cradle to Cradle Certified,Green Seal Certified,1,5
26,27,Bosch Dishwasher,Bosch,584,"Steel, aluminum",368,Ship,464,206,2,15,1,No Certification,No Certification,0,2
27,28,Bosch Dishwasher,Generic,187,"Steel, plastic, glass",143,Truck,205,179,2,0,1,No Certification,No Certification,1,2
28,29,Bosch Dishwasher,Generic,585,"Steel, plastic, copper, aluminum",424,Train,1124,198,3,0,1,ENERGY STAR Certified,EcoLogo Certified,0,4
29,30,Bosch Dishwasher,HP,83,"Plastic, aluminum",97,Ship,2000,123,5,0,5,RoHS Compliant,Energy Star Certified,1,5
30,31,Bosch Dishwasher,Generic,567,"Plastic, glass, copper, aluminum",519,Truck,1005,106,5,1,4,No Certification,Green Seal Certified,0,2
31,32,Bosch Dishwasher,Bosch,60,"Steel, plastic",30,Ship,652,179,4,0,4,Energy Star Certified,EcoLogo Certified,1,4
32,33,Bosch Dishwasher,LG,60,"Steel, plastic, copper",396,Ship,1014,227,5,15,4,Cradle to Cradle Certified,Green Seal Certified,1,5
33,34,Bosch Dishwasher,Sony,60,"Plastic, aluminum",72,Airplane,1882,400,4,8,4,ENERGY STAR Certified,No Certification,1,4
34,35,Bosch Dishwasher,Sony,454,"Steel, plastic, glass",33,Ship,870,237,5,0,4,Cradle to Cradle Certified,EcoLogo Certified,1,4
35,36,Bosch Dishwasher,LG,131,"Plastic, aluminum",58,Airplane,1186,371,5,0,4,RoHS Compliant,Energy Star Certified,1,5
36,37,Bosch Dishwasher,Generic,637,"Steel, plastic",85,Truck,50,153,4,0,4,ENERGY STAR Certified,No Certification,0,3
37,38,Bosch Dishwasher,Philips,586,"Glass, tungsten",380,Truck,805,123,3,1,1,No Certification,EcoLogo Certified,0,1
38,39,Bosch Dishwasher,Generic,1097,"Steel, plastic, glass",451,Truck,161,138,1,10,1,No Certification,No Certification,0,2
39,40,Bosch Dishwasher,Dell,60,"Steel, plastic, copper, aluminum",67,Truck,1065,244,4,0,4,ENERGY STAR Certified,No Certification,0,5
40,41,Bosch Dishwasher,Philips,458,"Steel, plastic, copper, aluminum",225,Train,1056,236,5,10,4,Cradle to Cradle Certified,Green Seal Certified,0,5
41,42,Bosch Dishwasher,Maytag,568,"Plastic, glass, copper, aluminum",199,Ship,1031,178,4,10,4,ENERGY STAR Certified,Green Seal Certified,1,4
42,43,Bosch Dishwasher,Whirlpool,60,"Steel, plastic, glass",81,Truck,1482,98,4,0,3,EcoLogo Certified,Energy Star Certified,1,4
43,44,Bosch Dishwasher,Panasonic,543,"Plastic, glass, copper, aluminum",393,Ship,547,235,5,0,5,EPEAT Certified,EcoLogo Certified,1,5
44,45,Bosch Dishwasher,Sony,531,"Plastic, glass, copper, aluminum",87,Train,976,237,5,9,5,EPEAT Certified,Energy Star Certified,1,5
45,46,Bosch Dishwasher,Panasonic,155,"Steel, plastic, copper, aluminum",389,Truck,806,122,5,0,4,ENERGY STAR Certified,EcoLogo Certified,0,5
46,47,Bosch Dishwasher,Maytag,724,"Steel, plastic, copper, aluminum",349,Ship,1033,111,4,1,1,Energy Star Certified,EcoLabel Certified,0,3
47,48,Bosch Dishwasher,Maytag,375,"Steel, plastic, copper, aluminum",270,Train,590,253,5,13,5,ENERGY STAR Certified,EcoLogo Certified,0,2
48,49,Bosch Dishwasher,LG,383,"Steel, plastic, copper, aluminum",394,Ship,1082,262,3,12,3,Cradle to Cradle Certified,EcoLogo Certified,0,3
49,50,Bosch Dishwasher,Generic,99,"Steel, plastic",80,Ship,229,290,5,0,4,No Certification,Energy Star Certified,0,5
50,51,Bosch Dishwasher,Dell,60,"Plastic, glass, copper, aluminum",30,Ship,1253,400,4,0,5,RoHS Compliant,EcoLogo Certified,1,5
51,52,Bosch Dishwasher,Dell,630,"Steel, plastic",285,Truck,391,108,1,1,1,EPEAT Certified,Energy Star Certified,0,2
52,53,Bosch Dishwasher,Maytag,386,"Steel, plastic, copper, aluminum",281,Ship,1006,124,2,12,3,ENERGY STAR Certified,Green Seal Certified,0,5
53,54,Bosch Dishwasher,Generic,385,"Plastic, aluminum",303,Truck,963,80,1,14,1,RoHS Compliant,No Certification,0,1
54,55,Bosch Dishwasher,Dell,60,"Steel, plastic, copper",47,Airplane,1150,400,5,11,4,RoHS Compliant,Energy Star Certified,1,4
55,56,Bosch Dishwasher,Generic,424,"Steel, plastic, glass",557,Truck,276,97,3,0,4,ENERGY STAR Certified,No Certification,0,3
56,57,Bosch Dishwasher,Sony,139,"Steel, aluminum",119,Truck,50,200,5,9,3,No Certification,Energy Star Certified,1,4
57,58,Bosch Dishwasher,Dell,60,"Plastic, glass, copper, aluminum",427,Ship,1273,124,4,0,4,Cradle to Cradle Certified,Green Seal Certified,0,4
58,59,Bosch Dishwasher,Panasonic,74,"Plastic, aluminum",83,Truck,1365,92,4,0,4,ENERGY STAR Certified,Green Seal Certified,1,4
59,60,Bosch Dishwasher,Maytag,367,"Steel, plastic, copper",418,Ship,1150,284,5,0,4,Cradle to Cradle Certified,Green Seal Certified,1,4
60,61,Bosch Dishwasher,Philips,422,"Steel, plastic",389,Truck,783,207,3,0,4,RoHS Compliant,EcoLogo Certified,0,4
61,62,Bosch Dishwasher,Samsung,60,"Plastic, glass, copper, aluminum",125,Ship,1927,205,5,0,5,RoHS Compliant,EcoLogo Certified,1,5
62,63,Bosch Dishwasher,Whirlpool,589,"Steel, plastic, copper, aluminum",290,Train,1021,219,5,11,5,Cradle to Cradle Certified,EcoLogo Certified,1,5
63,64,Bosch Dishwasher,Philips,249,"Steel, plastic, copper",92,Ship,50,122,4,0,3,EPEAT Certified,No Certification,1,5
64,65,Bosch Dishwasher,LG,364,"Glass, tungsten",30,Airplane,1282,400,5,9,5,Energy Star Certified,EcoLogo Certified,1,4
65,66,Bosch Dishwasher,Philips,60,"Plastic, aluminum",400,Ship,691,240,3,10,2,EcoLogo Certified,Green Seal Certified,1,4
66,67,Bosch Dishwasher,Maytag,416,"Steel, plastic, copper, aluminum",212,Ship,1065,259,5,10,4,ENERGY STAR Certified,Green Seal Certified,0,5
67,68,Bosch Dishwasher,Sony,60,"Glass, tungsten",67,Truck,635,220,1,1,5,No Certification,No Certification,0,3
68,69,Bosch Dishwasher,Generic,60,"Steel, plastic, copper, aluminum",414,Ship,919,96,4,0,4,ENERGY STAR Certified,Energy Star Certified,1,3
69,70,Bosch Dishwasher,Generic,94,"Steel, plastic, copper",108,Truck,122,116,4,0,4,No Certification,No Certification,0,3
70,71,Bosch Dishwasher,Maytag,524,"Plastic, glass, copper, aluminum",342,Truck,182,242,5,1,4,EcoLogo Certified,EcoLogo Certified,0,5
71,72,Bosch Dishwasher,Sony,60,"Plastic, glass, copper, aluminum",76,Train,773,215,5,0,4,RoHS Compliant,Green Seal Certified,1,4
72,73,Bosch Dishwasher,Bosch,169,"Steel, plastic, glass",419,Ship,488,158,4,0,1,Energy Star Certified,No Certification,0,2
73,74,Bosch Dishwasher,Sony,60,"Plastic, aluminum",57,Airplane,1194,400,4,0,5,ENERGY STAR Certified,Energy Star Certified,1,4
74,75,Bosch Dishwasher,HP,72,"Plastic, aluminum",94,Truck,482,14,4,0,5,ENERGY STAR Certified,No Certification,0,5
75,76,Bosch Dishwasher,Samsung,594,"Plastic, glass, copper, aluminum",395,Ship,257,400,4,0,4,ENERGY STAR Certified,No Certification,0,2
76,77,Bosch Dishwasher,Sony,549,"Steel, plastic, copper, aluminum",310,Train,615,215,4,0,3,RoHS Compliant,Green Seal Certified,1,3
77,78,Bosch Dishwasher,Maytag,60,"Steel, plastic, glass",283,Train,1308,400,5,15,5,ENERGY STAR Certified,Green Seal Certified,1,5
78,79,Bosch Dishwasher,Generic,1110,"Steel, plastic",115,Truck,316,99,4,0,4,Energy Star Certified,Energy Star Certified,1,1
79,80,Bosch Dishwasher,Generic,1092,"Steel, plastic",696,Truck,50,101,1,0,1,No Certification,No Certification,0,1
80,81,Bosch Dishwasher,Maytag,355,"Steel, plastic, copper",310,Truck,747,163,5,0,1,No Certification,EcoLogo Certified,0,1
81,82,Bosch Dishwasher,Panasonic,866,"Plastic, glass, copper, aluminum",384,Ship,809,223,5,15,1,ENERGY STAR Certified,Green Seal Certified,0,5
82,83,Bosch Dishwasher,Maytag,323,"Steel, plastic, copper, aluminum",271,Ship,641,254,5,11,4,RoHS Compliant,Green Seal Certified,1,5
83,84,Bosch Dishwasher,Whirlpool,391,"Plastic, aluminum",300,Train,1005,174,5,10,4,Cradle to Cradle Certified,Green Seal Certified,1,5
84,85,Bosch Dishwasher,Generic,674,"Steel, plastic, copper, aluminum",334,Train,895,264,4,15,3,Energy Star Certified,Green Seal Certified,0,3
85,86,Bosch Dishwasher,Sony,138,"Steel, plastic, glass",607,Truck,861,55,4,0,4,No Certification,Green Seal Certified,1,4
86,87,Bosch Dishwasher,Maytag,576,"Steel, plastic, glass",349,Ship,2000,290,5,12,5,ENERGY STAR Certified,EcoLogo Certified,0,2
87,88,Bosch Dishwasher,Generic,749,"Steel, aluminum",668,Truck,70,213,3,0,1,Green Seal Certified,Energy Star Certified,0,3
88,89,Bosch Dishwasher,Generic,330,"Steel, plastic, copper",418,Train,820,124,2,11,5,No Certification,Green Seal Certified,0,2
89,90,Bosch Dishwasher,Generic,1500,"Steel, plastic",750,Truck,89,53,1,1,1,No Certification,No Certification,0,1
90,91,Bosch Dishwasher,Whirlpool,510,"Steel, plastic, copper, aluminum",349,Train,912,400,5,11,4,Cradle to Cradle Certified,EcoLogo Certified,1,3
91,92,Bosch Dishwasher,Maytag,546,"Plastic, aluminum",120,Truck,1900,154,4,14,4,Energy Star Certified,Energy Star Certified,0,5
92,93,Bosch Dishwasher,LG,577,"Plastic, aluminum",46,Ship,1435,196,4,1,4,Cradle to Cradle Certified,Energy Star Certified,1,4
93,94,Bosch Dishwasher,Samsung,1016,"Steel, plastic",643,Truck,290,134,4,0,1,No Certification,No Certification,0,1
94,95,Bosch Dishwasher,Whirlpool,423,"Steel, plastic, copper, aluminum",304,Ship,1166,228,5,8,5,Cradle to Cradle Certified,Energy Star Certified,0,4
95,96,Bosch Dishwasher,Bosch,541,"Steel, plastic, copper",428,Ship,718,209,4,11,4,Cradle to Cradle Certified,Energy Star Certified,0,4
96,97,Bosch Dishwasher,Maytag,60,"Plastic, aluminum",73,Airplane,1126,396,5,0,4,ENERGY STAR Certified,Energy Star Certified,1,5
97,98,Bosch Dishwasher,Maytag,60,"Plastic, glass, copper, aluminum",30,Airplane,1034,393,4,0,4,EPEAT Certified,EcoLogo Certified,1,4
98,99,Bosch Dishwasher,Whirlpool,673,"Plastic, aluminum",406,Truck,1129,172,4,7,4,Cradle to Cradle Certified,Green Seal Certified,0,5
99,100,Bosch Dishwasher,Generic,999,"Steel, plastic",750,Truck,50,164,1,0,1,No Certification,No Certification,0,1
100,101,Bosch Dishwasher,Generic,607,"Steel, plastic, glass",599,Truck,171,142,4,0,1,No Certification,Green Seal Certified,0,3
101,102,Bosch Dishwasher,Sony,524,"Plastic, glass, copper, aluminum",318,Airplane,846,242,5,8,4,EcoLogo Certified,Green Seal Certified,1,5
102,103,Bosch Dishwasher,Maytag,580,"Steel, plastic",407,Ship,154,230,5,10,4,No Certification,Energy Star Certified,0,5
103,104,Bosch Dishwasher,Whirlpool,504,"Steel, plastic",547,Truck,173,187,5,9,4,ENERGY STAR Certified,EcoLogo Certified,0,4
104,105,Bosch Dishwasher,Generic,60,"Steel, plastic, copper",70,Ship,50,99,4,0,4,EPEAT Certified,No Certification,1,4
105,106,Bosch Dishwasher,Generic,467,"Steel, plastic, glass",300,Train,715,268,1,10,4,Cradle to Cradle Certified,Green Seal Certified,0,3
106,107,Bosch Dishwasher,Generic,569,"Steel, plastic, copper, aluminum",665,Truck,1140,101,3,1,1,No Certification,EcoLogo Certified,0,2
107,108,Bosch Dishwasher,HP,60,"Steel, plastic, glass",109,Airplane,74,400,5,0,4,EcoLogo Certified,Energy Star Certified,1,5
108,109,Bosch Dishwasher,Philips,547,"Steel, plastic",304,Train,284,81,1,0,2,No Certification,No Certification,0,1
109,110,Bosch Dishwasher,Panasonic,544,"Steel, plastic",336,Ship,918,149,2,10,4,No Certification,No Certification,0,4
110,111,Bosch Dishwasher,Maytag,60,"Steel, plastic, copper",30,Ship,873,245,5,15,4,ENERGY STAR Certified,Green Seal Certified,1,5
111,112,Bosch Dishwasher,Bosch,636,"Steel, plastic, copper, aluminum",255,Train,1165,227,3,10,4,Cradle to Cradle Certified,Green Seal Certified,1,2
